Site Name,MRBTSID,MRBTSNAME,local Ip Address,OSS Name,oss IP address
A3C0082C,78834,LA3C0082C2,11.34.244.21,T7OSS,10.255.110.11
A3C0083A,60459,LA3C0083A,11.34.102.212,T7OSS,10.255.110.11
A3C0083A,158596,LA3C0083A2,11.34.102.213,T7OSS,10.255.110.11
A3C0084D,163454,LA3C0084D2,11.247.198.245,T7OSS,10.255.110.11
A3C0085A,60355,LA3C0085A,11.34.206.148,T7OSS,10.255.110.11
A3C0085A,162943,LA3C0085A2,11.34.206.149,T7OSS,10.255.110.11
A3C0086A,78008,LA3C0086A2,11.34.246.53,T7OSS,10.255.110.11
A3C0087A,152170,LA3C0087A2,11.34.58.149,T7OSS,10.255.110.11
A3C0087A,157842,LA3C0087A3,11.34.58.150,T7OSS,10.255.110.11
A3C0089B,64054,LA3C0089B,11.34.248.116,T7OSS,10.255.110.11
A3C0093B,78397,LA3C0093B2,11.34.39.21,T7OSS,10.255.110.11
A3C0094A,78835,LA3C0094A2,11.247.119.53,T7OSS,10.255.110.11
A3C0097B,150398,LA3C0097B2,11.34.56.149,T7OSS,10.255.110.11
A3C0098A,78889,LA3C0098A2,11.34.75.21,T7OSS,10.255.110.11
A3C0099A,78384,LA3C0099A2,11.247.19.181,T7OSS,10.255.110.11
A3C0100A,77657,LA3C0100A2,11.247.137.117,T7OSS,10.255.110.11
A3C0101B,64060,LA3C0101B,11.34.60.148,T7OSS,10.255.110.11
A3C0102A,78836,LA3C0102A2,11.34.102.181,T7OSS,10.255.110.11
A3C0103C,157918,LA3C0103C2,11.34.94.149,T7OSS,10.255.110.11
A3C0104A,150097,LA3C0104A2,11.247.207.245,T7OSS,10.255.110.11
A3C0106A,79575,LA3C0106A2,11.66.210.245,T7OSS,10.255.110.11
A3C0108A,10213,LA3C0108A2,11.247.100.213,T7OSS,10.255.110.11
A3C0109A,700531,LA3C0109A,11.247.195.180,T7OSS,10.255.110.11
A3C0110C,64065,LA3C0110C,11.34.61.84,T7OSS,10.255.110.11
A3C0110C,10378,LA3C0110C2,11.34.61.85,T7OSS,10.255.110.11
A3C0111C,78837,LA3C0111C2,11.34.64.149,T7OSS,10.255.110.11
A3C0112A,150776,LA3C0112A2,11.247.97.53,T7OSS,10.255.110.11
A3C0113A,64067,LA3C0113A,11.34.94.244,T7OSS,10.255.110.11
A3C0115B,60220,LA3C0115B,11.34.15.212,T7OSS,10.255.110.11
A3C0116C,10214,LA3C0116C2,11.247.240.53,T7OSS,10.255.110.11
A3C0116C,155727,LA3C0116C3,11.247.240.54,T7OSS,10.255.110.11
A3C0118C,60567,LA3C0118C,11.34.239.116,T7OSS,10.255.110.11
A3C0120A,64194,LA3C0120A,11.247.80.212,T7OSS,10.255.110.11
A3C0120A,77927,LA3C0120A2,11.247.80.213,T7OSS,10.255.110.11
A3C0122B,77635,LA3C0122B2,11.34.223.85,T7OSS,10.255.110.11
A3C0125A,77640,LA3C0125A2,11.247.21.117,T7OSS,10.255.110.11
A3C0126D,60761,LA3C0126D,11.34.66.116,T7OSS,10.255.110.11
A3C0127E,64075,LA3C0127E,11.34.67.148,T7OSS,10.255.110.11
A3C0127E,151257,LA3C0127E2,11.34.67.149,T7OSS,10.255.110.11
A3C0129A,64195,LA3C0129A,11.247.30.180,T7OSS,10.255.110.11
A3C0129A,161853,LA3C0129A2,11.247.30.181,T7OSS,10.255.110.11
A3C0130A,151378,LA3C0130A2,11.247.248.149,T7OSS,10.255.110.11
A3C0131A,78877,LA3C0131A2,11.34.248.181,T7OSS,10.255.110.11
A3C0132A,77488,LA3C0132A2,11.34.69.213,T7OSS,10.255.110.11
A3C0134A,150098,LA3C0134A2,11.34.218.245,T7OSS,10.255.110.11
A3C0135A,163455,LA3C0135A2,11.34.109.181,T7OSS,10.255.110.11
A3C0137A,150773,LA3C0137A2,11.34.64.213,T7OSS,10.255.110.11
A3C0138A,64078,LA3C0138A,11.34.220.244,T7OSS,10.255.110.11
A3C0138A,150099,LA3C0138A2,11.34.220.245,T7OSS,10.255.110.11
A3C0139A,78838,LA3C0139A2,11.66.134.181,T7OSS,10.255.110.11
A3C0140A,77825,LA3C0140A2,11.34.66.85,T7OSS,10.255.110.11
A3C0141A,60221,LA3C0141A,11.66.30.180,T7OSS,10.255.110.11
A3C0141A,78839,LA3C0141A2,11.66.30.181,T7OSS,10.255.110.11
A3C0143B,60533,LA3C0143B,11.34.101.148,T7OSS,10.255.110.11
A3C0144A,78840,LA3C0144A2,11.247.78.53,T7OSS,10.255.110.11
A3C0145A,64079,LA3C0145A,11.34.102.84,T7OSS,10.255.110.11
A3C0145A,153464,LA3C0145A2,11.34.102.85,T7OSS,10.255.110.11
A3C0148B,161854,LA3C0148B2,11.34.144.21,T7OSS,10.255.110.11
A3C0150B,60358,LA3C0150B,11.34.205.148,T7OSS,10.255.110.11
A3C0152C,60086,LA3C0152C,11.247.211.212,T7OSS,10.255.110.11
A3C0153G,174615,LA3C0153G,11.247.91.148,T7OSS,10.255.110.11
A3C0154C,78842,LA3C0154C2,11.66.241.53,T7OSS,10.255.110.11
A3C0155C,77936,LA3C0155C2,11.34.70.21,T7OSS,10.255.110.11
A3C0155C,10882,LA3C0155C3,11.34.70.22,T7OSS,10.255.110.11
A3C0156A,78762,LA3C0156A2,11.34.243.181,T7OSS,10.255.110.11
A3C0156A,157848,LA3C0156A3,11.34.243.182,T7OSS,10.255.110.11
A3C0158D,174480,LA3C0158D,11.34.48.148,T7OSS,10.255.110.11
A3C0158D,174519,LA3C0158D2,11.34.48.149,T7OSS,10.255.110.11
A3C0159D,78936,LA3C0159D2,11.66.91.245,T7OSS,10.255.110.11
A3C0160B,156536,LA3C0160B2,11.34.10.149,T7OSS,10.255.110.11
A3C0160B,156538,LA3C0160B3,11.34.10.150,T7OSS,10.255.110.11
A3C0161A,173867,LA3C0161A2,11.34.60.21,T7OSS,10.255.110.11
A3C0164A,60401,LA3C0164A,11.34.143.244,T7OSS,10.255.110.11
A3C0167A,77919,LA3C0167A2,11.34.245.181,T7OSS,10.255.110.11
A3C0170A,153597,LA3C0170A2,11.34.134.213,T7OSS,10.255.110.11
A3C0171B,162966,LA3C0171B2,11.34.121.213,T7OSS,10.255.110.11
A3C0173A,60535,LA3C0173A,11.247.123.84,T7OSS,10.255.110.11
A3C0173A,77509,LA3C0173A2,11.247.123.85,T7OSS,10.255.110.11
A3C0175A,78395,LA3C0175A2,11.34.216.213,T7OSS,10.255.110.11
A3C0179A,163308,LA3C0179A2,11.34.54.21,T7OSS,10.255.110.11
A3C0185A,10291,LA3C0185A2,11.34.218.181,T7OSS,10.255.110.11
A3C0186C,266955,LA3C0186C2,11.66.244.245,T7OSS,10.255.110.11
A3C0187B,12570,LA3C0187B,11.66.67.148,T7OSS,10.255.110.11
A3C0193A,10883,LA3C0193A2,11.247.63.181,T7OSS,10.255.110.11
A3C0194A,60224,LA3C0194A,11.34.120.212,T7OSS,10.255.110.11
A3C0203B,12062,LA3C0203B,11.247.217.148,T7OSS,10.255.110.11
A3C0216E,13370,LA3C0216E,11.66.27.20,T7OSS,10.255.110.11
A3C0217C,266965,LA3C0217C2,11.247.107.149,T7OSS,10.255.110.11
A3C0224A,14029,LA3C0224A,11.247.196.244,T7OSS,10.255.110.11
A3C0224A,421453,LA3C0224A2,11.247.196.245,T7OSS,10.255.110.11
A3C0230A,14273,LA3C0230A,11.247.212.148,T7OSS,10.255.110.11
A3C0234A,869988,LA3C0234A2,11.66.15.245,T7OSS,10.255.110.11
A3C0242A,171992,LA3C0242A,11.247.155.116,T7OSS,10.255.110.11
A3C0244A,872442,LA3C0244A,11.34.34.20,T7OSS,10.255.110.11
A3C0249A,173868,LA3C0249A2,11.34.60.85,T7OSS,10.255.110.11
A3C0251A,60225,LA3C0251A,11.34.6.212,T7OSS,10.255.110.11
A3C0251A,78131,LA3C0251A2,11.34.6.213,T7OSS,10.255.110.11
A3C0263A,66904,LA3C0263A,11.66.17.244,T7OSS,10.255.110.11
A3C0266A,66906,LA3C0266A,11.66.211.20,T7OSS,10.255.110.11
A3C0269A,155539,LA3C0269A2,11.34.22.85,T7OSS,10.255.110.11
A3C0292B,161052,LA3C0292B,11.247.13.20,T7OSS,10.255.110.11
A3C0299B,13372,LA3C0299B,11.66.0.212,T7OSS,10.255.110.11
A3C0306C,161971,LA3C0306C,11.247.196.212,T7OSS,10.255.110.11
A3C0308A,13375,LA3C0308A,11.247.82.180,T7OSS,10.255.110.11
A3C0309A,157423,LA3C0309A2,11.34.58.85,T7OSS,10.255.110.11
A3C0309A,162820,LA3C0309A3,11.34.58.86,T7OSS,10.255.110.11
A3C0315A,157426,LA3C0315A,11.34.66.212,T7OSS,10.255.110.11
A3C0315A,157427,LA3C0315A2,11.34.66.213,T7OSS,10.255.110.11
A3C0320A,12571,LA3C0320A,11.66.29.116,T7OSS,10.255.110.11
A3C0321A,174078,LA3C0321A,11.66.25.180,T7OSS,10.255.110.11
A3C0327A,157434,LA3C0327A,11.66.149.244,T7OSS,10.255.110.11
A3C0328A,12815,LA3C0328A,11.66.29.148,T7OSS,10.255.110.11
A3C0335E,174659,LA3C0335E,11.66.32.52,T7OSS,10.255.110.11
A3C0335E,872677,LA3C0335E2,11.66.32.53,T7OSS,10.255.110.11
A3C0340A,424158,LA3C0340A2,11.247.111.117,T7OSS,10.255.110.11
A3C0355A,700536,LA3C0355A,11.66.36.148,T7OSS,10.255.110.11
A3C0369A,172358,LA3C0369A2,11.34.28.53,T7OSS,10.255.110.11
A3C0371A,171906,LA3C0371A2,11.247.153.213,T7OSS,10.255.110.11
A3C0376A,700538,LA3C0376A,11.66.139.180,T7OSS,10.255.110.11
A3C0391A,273806,LA3C0391A,11.66.9.84,T7OSS,10.255.110.11
A3C0407B,14575,LA3C0407B2,11.247.89.245,T7OSS,10.255.110.11
A3D0001A,77045,LA3D0001A2,11.66.41.149,T7OSS,10.255.110.11
A3D0002A,60461,LA3D0002A,11.247.66.116,T7OSS,10.255.110.11
A3D0003A,78937,LA3D0003A2,11.247.34.85,T7OSS,10.255.110.11
A3D0005A,700539,LA3D0005A,11.34.248.148,T7OSS,10.255.110.11
A3D0007A,60463,LA3D0007A,11.34.50.244,T7OSS,10.255.110.11
A3D0007A,78793,LA3D0007A2,11.34.50.245,T7OSS,10.255.110.11
A3D0007A,151259,LA3D0007A3,11.34.50.246,T7OSS,10.255.110.11
A3D0008A,60608,LA3D0008A,11.34.50.84,T7OSS,10.255.110.11
A3D0008A,77710,LA3D0008A2,11.34.50.85,T7OSS,10.255.110.11
A3D0009A,10995,LA3D0009A2,11.34.45.85,T7OSS,10.255.110.11
A3D0011A,11292,LA3D0011A2,11.66.249.21,T7OSS,10.255.110.11
A3D0016A,162968,LA3D0016A2,11.247.35.245,T7OSS,10.255.110.11
A3D0017A,10305,LA3D0017A2,11.247.149.213,T7OSS,10.255.110.11
A3D0018A,74654,LA3D0018A2,11.247.244.245,T7OSS,10.255.110.11
A3D0021A,163364,LA3D0021A2,11.247.62.117,T7OSS,10.255.110.11
A3D0023A,64085,LA3D0023A,11.34.204.20,T7OSS,10.255.110.11
A3D0023A,74514,LA3D0023A2,11.34.204.21,T7OSS,10.255.110.11
A3D0024A,77665,LA3D0024A2,11.247.210.117,T7OSS,10.255.110.11
A3D0025A,77645,LA3D0025A2,11.34.244.213,T7OSS,10.255.110.11
A3D0031A,163335,LA3D0031A2,11.34.249.21,T7OSS,10.255.110.11
A3D0032A,78846,LA3D0032A2,11.247.53.21,T7OSS,10.255.110.11
A3D0036A,64201,LA3D0036A,11.34.248.52,T7OSS,10.255.110.11
A3D0036A,78847,LA3D0036A2,11.34.248.53,T7OSS,10.255.110.11
A3D0037A,60466,LA3D0037A,11.34.239.212,T7OSS,10.255.110.11
A3D0037A,10294,LA3D0037A2,11.34.239.213,T7OSS,10.255.110.11
A3D0041A,71144,LA3D0041A,11.34.109.52,T7OSS,10.255.110.11
A3D0045A,70177,LA3D0045A,11.34.58.20,T7OSS,10.255.110.11
A3D0054A,60404,LA3D0054A,11.34.127.212,T7OSS,10.255.110.11
A3D0057A,60467,LA3D0057A,11.66.0.84,T7OSS,10.255.110.11
A3D0059F,77646,LA3D0059F2,11.247.22.213,T7OSS,10.255.110.11
A3D0063A,64094,LA3D0063A,11.34.240.20,T7OSS,10.255.110.11
A3D0070A,158338,LA3D0070A2,11.247.246.245,T7OSS,10.255.110.11
A3D0094B,78385,LA3D0094B2,11.34.74.21,T7OSS,10.255.110.11
A3D0095A,700540,LA3D0095A,11.34.211.84,T7OSS,10.255.110.11
A3D0095A,159252,LA3D0095A2,11.34.211.85,T7OSS,10.255.110.11
A3D0096C,64099,LA3D0096C,11.34.42.20,T7OSS,10.255.110.11
A3D0100G,162959,LA3D0100G2,11.34.245.53,T7OSS,10.255.110.11
A3D0102B,60405,LA3D0102B,11.34.47.180,T7OSS,10.255.110.11
A3D0102B,78011,LA3D0102B2,11.34.47.181,T7OSS,10.255.110.11
A3D0104A,151184,LA3D0104A2,11.34.247.149,T7OSS,10.255.110.11
A3D0105A,60301,LA3D0105A,11.34.65.212,T7OSS,10.255.110.11
A3D0105A,150100,LA3D0105A2,11.34.65.213,T7OSS,10.255.110.11
A3D0107A,64104,LA3D0107A,11.34.242.116,T7OSS,10.255.110.11
A3D0108A,60406,LA3D0108A,11.34.105.84,T7OSS,10.255.110.11
A3D0108A,78850,LA3D0108A2,11.34.105.85,T7OSS,10.255.110.11
A3D0109B,700541,LA3D0109B,11.34.198.180,T7OSS,10.255.110.11
A3D0113B,71357,LA3D0113B,11.66.156.84,T7OSS,10.255.110.11
A3D0115C,60469,LA3D0115C,11.34.244.116,T7OSS,10.255.110.11
A3D0116A,64110,LA3D0116A,11.34.195.52,T7OSS,10.255.110.11
A3D0117A,78851,LA3D0117A2,11.34.84.149,T7OSS,10.255.110.11
A3D0120B,173870,LA3D0120B2,11.34.221.181,T7OSS,10.255.110.11
A3D0122A,700543,LA3D0122A,11.34.109.244,T7OSS,10.255.110.11
A3D0126B,153100,LA3D0126B2,11.34.135.213,T7OSS,10.255.110.11
A3D0133A,64115,LA3D0133A,11.34.247.180,T7OSS,10.255.110.11
